xmltv_id,channel_name,source,candidate_count,winner_source,receiver_canonical_id,now_status,now_title,now_desc,epg_snapshot_utc
beINSportsMax3.qa@MENA,beIN SPORTS MAX 3,beinsports.com,2,bein.com,beIN.Sports.MAX3.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax4.qa@MENA,beINSPORTSMAX4,bein.com,2,bein.com,beIN.Sports.MAX4.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax4.qa@MENA,beIN SPORTS MAX 4,beinsports.com,2,bein.com,beIN.Sports.MAX4.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax5.qa@MENA,beINSPORTSMAX5,bein.com,2,bein.com,beIN.Sports.MAX5.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax5.qa@MENA,beIN SPORTS MAX 5,beinsports.com,2,bein.com,beIN.Sports.MAX5.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax6.qa@MENA,beINSPORTSMAX6,bein.com,2,bein.com,beIN.Sports.MAX6.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax6.qa@MENA,beIN SPORTS MAX 6,beinsports.com,2,bein.com,beIN.Sports.MAX6.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsXtra1.qa@SD,beINSPORTSXTRA1,bein.com,2,bein.com,beIN.Sports.XTRA1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsXtra1.qa@SD,beIN SPORTS XTRA 1,beinsports.com,2,bein.com,beIN.Sports.XTRA1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsXtra2.qa@SD,beINSPORTSXTRA2,bein.com,2,bein.com,beIN.Sports.XTRA2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsXtra2.qa@SD,beIN SPORTS XTRA 2,beinsports.com,2,bein.com,beIN.Sports.XTRA2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
BeJunior.qa@SD,21,bein.com,2,bein.com,BeJunior.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
BeJunior.qa@SD,beINJUNIOR,bein.com,2,bein.com,BeJunior.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
BigTimePlus.sa@SD,Big Time Plus,shahid.mbc.net,1,shahid.mbc.net,MBC.Big.Time.Plus.mena,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
BloombergOriginals.us@SD,Bloomberg Originals,osn.com,1,osn.com,Bloomberg.Originals.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
BloombergTV.us@MiddleEast,22,bein.com,2,osn.com,Bloomberg.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
BloombergTV.us@MiddleEast,Bloomberg,osn.com,2,osn.com,Bloomberg.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
CartoonNetworkArabic.ae@SD,نتورك بالعربية,elcinema.com,2,osn.com,CN.Arabia.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
CartoonNetworkArabic.ae@SD,CN Arabia,osn.com,2,osn.com,CN.Arabia.ae,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
CartoonNetworkMENA.uk@SD,Cartoon Network HD,osn.com,1,osn.com,Cartoon.Network.mena,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
CBC.eg@SD,سي بي سي,elcinema.com,1,elcinema.com,CBC.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
CBCDrama.eg@SD,سي بي سي دراما,elcinema.com,1,elcinema.com,CBC.Drama.eg,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
CBCSofra.eg@SD,سي بي سي سفرة,elcinema.com,1,elcinema.com,CBC.Sofra.eg,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
CBeebiesMiddleEast.uk@SD,31,bein.com,1,bein.com,CBeebiesMiddleEast.uk@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
